chr	gene	start	end	transcript	strand	cancerGene	geneColor
1	SDF4	1152288	1167447	NM_016547|NM_016176	-	no	black
1	B3GALT6	1167629	1170420	NM_080605	+	no	black
1	FAM132A	1177826	1182102	NM_001014980	-	no	black
1	UBE2J2	1189292	1209234	NM_058167|NM_194315|NM_194458|NM_194457	-	no	black
1	SCNN1D	1215816	1227409	NM_001130413|NR_037668	+	no	black
1	ACAP3	1227764	1243269	NM_030649	-	no	black
1	MIR6726	1231490	1231550	NR_106784	-	no	black
1	PUSL1	1243994	1247057	NM_153339	+	no	black
1	CPSF3L	1246965	1260067	NM_017871|NM_001256462|NM_001256463|NM_001256460|NM_001256456	-	no	black
1	MIR6727	1247882	1247946	NR_106785	-	no	black
1	CPTP	1260143	1264276	NM_001029885	+	no	black
1	TAS1R3	1266726	1269844	NM_152228	+	no	black
1	DVL1	1270658	1284492	NM_004421	-	no	black
1	MIR6808	1275030	1275088	NR_106866	-	no	black
1	MXRA8	1288069	1298921	NM_001282585|NM_032348|NM_001282584|NM_001282583|NM_001282582	-	no	black
1	AURKAIP1	1309110	1310818	NM_001127229|NM_017900|NM_001127230	-	no	black
1	CCNL2	1321091	1334718	NM_030937|NM_001039577	-	no	black
1	LOC148413	1334910	1337426	NR_015434	+	no	black
1	MRPL20	1337276	1342693	NM_017971	-	no	black
1	ANKRD65	1353800	1356824	NM_001145210|NM_001243536|NM_001243535	-	no	black
1	TMEM88B	1361508	1363167	NM_001146685	+	no	black
1	LOC102724312	1365537	1369953	NR_125994|NR_125995|NR_125996	-	no	black
1	VWA1	1370903	1378262	NM_022834|NM_199121	+	no	black
1	ATAD3C	1385069	1405538	NM_001039211	+	no	black
1	ATAD3B	1407164	1431582	NM_031921	+	no	black
1	ATAD3A	1447523	1470067	NM_001170535|NM_018188|NM_001170536	+	no	black
1	TMEM240	1470158	1475740	NM_001114748	-	no	black
1	SSU72	1477053	1510262	NM_014188	-	no	black
1	C1orf233	1533388	1535476	NM_001242659	-	no	black
1	MIB2	1550795	1565990	NM_001170687|NM_080875|NR_033183|NM_001170686|NM_001170688|NM_001170689	+	no	black
1	MMP23B	1567560	1570030	NM_006983	+	no	black
1	MMP23A	1568159	1570027	NR_002946	+	no	black
1	CDK11B	1570603	1655859	NM_001787|NM_033489|NM_033486|NM_033490|NM_001291345|NM_033487	-	no	black
1	SLC35E2B	1592939	1624243	NM_001110781|NM_001290264	-	no	black
1	CDK11A	1634170	1655791	NM_033529|NM_024011	-	no	black
1	SLC35E2	1656277	1677438	NM_001199787|NM_182838	-	no	black
1	NADK	1682671	1711508	NM_001198995|NM_023018|NM_001198993|NM_001198994	-	no	black
1	GNB1	1716724	1822556	NM_002074|NM_001282538|NM_001282539	-	no	black
1	CALML6	1846266	1848733	NM_138705	+	no	black
1	TMEM52	1849029	1850740	NM_178545	-	no	black
1	CFAP74	1853390	1935276	NM_001304360|NM_001080484	-	no	black
1	GABRD	1950768	1962192	NM_000815	+	no	black
1	PRKCZ	1981909	2116834	NM_002744|NM_001033581|NM_001242874|NM_001033582	+	no	black
1	C1orf86	2115899	2144159	NM_001282671|NM_001282673|NM_001282672|NM_001256945|NM_001146310|NM_001256947|NR_046427|NM_182533|NM_001282670|NM_001256946	-	no	black
1	SKI	2160134	2241652	NM_003036	+	no	black
1	MORN1	2252692	2323190	NM_024848|NM_001301060|NR_125361	-	no	black
1	LOC100129534	2281853	2284100	NR_024489	-	no	black
1	RER1	2323214	2336885	NM_007033	+	no	black
1	PEX10	2336241	2344010	NM_002617|NM_153818	-	no	black
1	PLCH2	2398898	2436969	NM_001303012|NM_014638|NM_001303013	+	no	black
1	PANK4	2439970	2458067	NM_018216	-	no	black
1	HES5	2460184	2461684	NM_001010926	-	no	black
1	LOC115110	2481359	2488450	NR_037844	-	no	black
1	TNFRSF14	2487804	2497061	NM_001297605|NM_003820	+	yes	red4
1	LOC100996583	2497974	2515973	NR_121638	+	no	black
1	FAM213B	2517899	2522908	NR_036638|NR_036637|NM_001195741|NM_152371|NM_001195738|NM_001195737|NM_001195736|NM_001195740	+	no	black
1	MMEL1	2522081	2564481	NM_033467	-	no	black
1	TTC34	2572807	2706230	NM_001242672	-	no	black
1	ACTRT2	2938046	2939467	NM_080431	+	no	black
1	LINC00982	2976181	2984289	NR_015440|NR_024371	-	no	black
1	PRDM16	2985742	3355185	NM_199454|NM_022114	+	yes	red4
1	MIR4251	3044539	3044599	NR_036215	+	no	black
1	ARHGEF16	3371147	3397677	NM_014448	+	no	black
1	MEGF6	3404506	3528059	NM_001409	-	no	black
1	MIR551A	3477260	3477354	NR_030277	-	no	black
1	TPRG1L	3541556	3546694	NM_182752	+	no	black
1	WRAP73	3547331	3566671	NM_017818	-	no	black
1	TP73	3569129	3652765	NM_001204184|NM_001204186|NM_001204187|NM_001204185|NM_005427|NM_001204188|NM_001126242|NM_001204189|NM_001204190|NM_001204191|NM_001126240|NM_001126241|NM_001204192	+	no	black
1	TP73-AS1	3652548	3663937	NR_033712|NR_033708|NR_033711|NR_033710|NR_033709	-	no	black
1	CCDC27	3668965	3688209	NM_152492	+	no	black
1	SMIM1	3689325	3692546	NM_001288583|NM_001163724	+	no	black
1	LRRC47	3696784	3713068	NM_020710	-	no	black
1	CEP104	3728645	3773797	NM_014704	-	no	black
1	DFFB	3773831	3801993	NM_004402|NM_001282669|NR_104222	+	no	black
1	C1orf174	3805697	3816857	NM_207356	-	no	black
1	LINC01134	3816968	3832011	NR_024455	+	no	black
1	LINC01346	4000672	4012643	NR_040065	+	no	black
1	LOC284661	4472111	4484744	NR_027088	+	no	black
1	AJAP1	4715105	4843851	NM_001042478|NM_018836	+	no	black
1	MIR4417	5624131	5624203	NR_039612	+	no	black
1	MIR4689	5922732	5922801	NR_039838	-	no	black
1	NPHP4	5922868	6052533	NR_111987|NM_001291593|NM_001291594|NM_015102	-	no	black
1	KCNAB2	6052358	6161253	NM_001199861|NM_172130|NM_003636|NM_001199860|NM_001199862|NM_001199863	+	no	black
1	CHD5	6161847	6240194	NM_015557	-	no	black
1	RPL22	6245080	6259679	NM_000983	-	yes	red4
1	LOC102724450	6264900	6265840	NR_125997	-	no	black
1	RNF207	6266189	6281359	NM_207396	+	no	black
1	ICMT	6281253	6296044	NM_012405	-	no	black
1	LINC00337	6296300	6299502	NR_103534	+	no	black
1	HES3	6304252	6305638	NM_001024598	+	no	black
1	GPR153	6307406	6321035	NM_207370	-	no	black
1	ACOT7	6324332	6453826	NM_181866|NM_181865|NM_181864|NM_007274	-	no	black
1	HES2	6475294	6479979	NM_019089	-	no	black
1	ESPN	6484848	6521004	NM_031475	+	no	black
1	MIR4252	6489894	6489956	NR_036218	-	no	black
1	TNFRSF25	6521214	6526255	NM_003790|NM_148967|NM_148970|NM_148966|NM_148965|NM_001039664	-	no	black
1	PLEKHG5	6526152	6580121	NM_001265593|NM_001042665|NM_001042664|NM_001265594|NM_020631|NM_001265592|NM_001042663|NM_198681	-	no	black
1	NOL9	6581407	6614658	NM_024654	-	no	black
1	TAS1R1	6615338	6639817	NM_138697|NM_177540	+	no	black
1	ZBTB48	6640051	6649340	NM_001278648|NM_001278647|NM_005341	+	no	black
1	KLHL21	6650784	6662958	NM_014851	-	no	black
1	PHF13	6673756	6684093	NM_153812	+	no	black
1	THAP3	6684925	6695646	NM_001195753|NM_001195752|NM_138350	+	no	black
1	DNAJC11	6694228	6761966	NM_018198	-	no	black
1	LOC100505887	6784805	6790072	NR_104620|NR_104621	+	no	black
1	CAMTA1	6845384	7829766	NM_001195563|NM_001242701|NR_038934|NM_015215	+	yes	red4
1	VAMP3	7831329	7841492	NM_004781	+	no	black
1	PER3	7844489	7905240	NM_001289864|NM_001289862|NM_001289863|NM_001289861|NM_016831	+	no	black
1	UTS2	7907672	7913551	NM_006786|NM_021995	-	no	black
1	TNFRSF9	7975931	8003225	NM_001561	-	no	black
1	PARK7	8021714	8045342	NM_007262|NM_001123377	+	no	black
1	ERRFI1	8071779	8086393	NM_018948	-	no	black
1	LOC102724539	8268732	8275268	NR_125998	+	no	black
1	SLC45A1	8378145	8404227	NM_001080397	+	no	black
1	RERE	8412464	8877699	NM_001042682|NM_001042681|NM_012102	-	no	black
1	LOC102724552	8484705	8495076	NR_125999	+	no	black
1	ENO1	8921059	8939151	NM_001201483|NM_001428	-	no	black
1	MIR6728	8926561	8926649	NR_106786	-	no	black
1	ENO1-AS1	8938894	8939943	NR_038351	+	no	black
1	CA6	9005893	9035148	NM_001270500|NM_001270501|NM_001270502|NM_001215	+	no	black
1	SLC2A7	9063359	9086404	NM_207420	-	no	black
1	SLC2A5	9097005	9129887	NM_003039|NM_001135585	-	no	black
1	GPR157	9164476	9189229	NM_024980	-	no	black
1	MIR34A	9211727	9211836	NR_029610	-	no	black
1	H6PD	9294863	9331394	NM_004285|NM_001282587	+	no	black
1	SPSB1	9352941	9429590	NM_025106	+	no	black
1	LOC100506022	9485153	9489055	NR_104623|NR_104622	-	no	black
1	SLC25A33	9599528	9642831	NM_032315	+	no	black
1	TMEM201	9648932	9674935	NM_001010866|NM_001130924	+	no	black
1	PIK3CD	9711790	9789172	NM_005026	+	no	black
1	PIK3CD-AS1	9712668	9714644	NR_027045	-	no	black
1	PIK3CD-AS2	9732484	9747632	NR_126367|NR_126366|NR_126368	-	no	black
1	CLSTN1	9789079	9884584	NM_001009566|NM_014944|NM_001302883	-	no	black
1	CTNNBIP1	9908334	9970316	NM_020248|NM_001012329	-	no	black
1	LZIC	9989776	10002826	NM_032368	-	no	black
1	NMNAT1	10002981	10045556	NM_001297778|NM_001297779|NM_022787	+	no	black
1	MIR5697	10027439	10027516	NR_049882	+	no	black
1	RBP7	10057255	10076078	NM_052960	+	no	black
1	UBE4B	10093041	10241296	NM_001105562|NM_006048	+	no	black
1	KIF1B	10270764	10441661	NM_183416|NM_015074	+	no	black
1	RNU6-2	10359024	10359128	NR_125730	+	no	black
1	PGD	10459049	10480568	NM_001304451|NM_002631|NM_001304452	+	no	black
1	APITD1	10490159	10502872	NM_199294|NR_036462	+	no	black
1	APITD1-CORT	10490159	10512060	NM_198544|NM_001270517|NM_199006|NR_037187|NM_001243768	+	no	black
1	CORT	10509776	10512060	NM_001302	+	no	black
1	DFFA	10520603	10532613	NM_004401|NM_213566	-	no	black
1	PEX14	10535003	10690815	NM_004565	+	no	black
1	CASZ1	10696666	10856733	NM_001079843|NM_017766	-	no	black
1	C1orf127	11006530	11042094	NM_001170754	-	no	black
1	TARDBP	11072679	11085549	NM_007375	+	no	black
1	MASP2	11086580	11107296	NM_006610|NM_139208	-	no	black
1	SRM	11114649	11120091	NM_003132	-	no	black
1	EXOSC10	11126670	11159967	NM_001001998|NM_002685	-	no	black
1	MTOR	11166588	11322608	NM_004958	-	yes	red4
1	MTOR-AS1	11203955	11209595	NR_046600	+	no	black
1	ANGPTL7	11249346	11256038	NM_021146	+	no	black
1	UBIAD1	11333255	11348491	NM_013319	+	no	black
1	PTCHD2	11539295	11597640	NM_020780	+	no	black
1	LOC101929181	11669588	11673411	NR_104624	+	no	black
1	FBXO2	11708418	11714888	NM_012168	-	no	black
1	FBXO44	11714432	11723384	NM_183412|NM_183413|NM_033182|NM_001014765	+	no	black
1	FBXO6	11724150	11734409	NM_018438	+	no	black
1	MAD2L2	11734537	11751678	NM_006341|NM_001127325	-	no	black
1	DRAXIN	11751781	11780336	NM_198545	+	no	black
1	AGTRAP	11796142	11810828	NM_001040195|NM_001040194|NM_001040197|NM_020350|NM_001040196	+	no	black
1	C1orf167	11822250	11849642	NM_001010881	+	no	black
1	LOC102724659	11837134	11839676	NR_126000	-	no	black
1	MTHFR	11845787	11866160	NM_005957	-	no	black
1	CLCN6	11866153	11903201	NM_001256959|NM_001286|NR_046428	+	no	black
1	NPPA-AS1	11900376	11907673	NR_037806	+	no	black
1	NPPA	11905767	11907840	NM_006172	-	no	black
1	NPPB	11917521	11918992	NM_002521	-	no	black
1	KIAA2013	11979645	11986485	NM_138346	-	no	black
1	PLOD1	11994724	12035599	NM_000302	+	no	black
1	MFN2	12040238	12073572	NM_014874|NM_001127660	+	no	black
1	MIIP	12079299	12092106	NM_021933	+	no	black
1	MIR6729	12089215	12089279	NR_106787	+	no	black
1	TNFRSF8	12123434	12204264	NM_001243|NM_001281430	+	no	black
1	MIR7846	12227000	12227095	NR_107000	+	no	black
1	TNFRSF1B	12227060	12269277	NM_001066	+	no	black
1	MIR4632	12251770	12251830	NR_039775	+	no	black
1	VPS13D	12290096	12572098	NM_018156|NM_015378	+	no	black
1	SNORA59A	12567300	12567451	NR_003025	+	no	black
1	DHRS3	12627939	12677737	NM_004753	-	no	black
1	MIR6730	12638985	12639051	NR_106788	-	no	black
1	AADACL4	12704566	12727097	NM_001013630	+	no	black
1	AADACL3	12776118	12788726	NR_111984|NM_001103170	+	no	black
1	C1orf158	12806134	12821102	NM_152290	+	no	black
1	PRAMEF12	12834991	12838048	NM_001080830	+	no	black
1	PRAMEF1	12851546	12856777	NM_023013|NM_001294139	+	no	black
1	PRAMEF11	12884618	12891264	NM_001146344*	-	no	black
1	HNRNPCL4	12907230	12908157	NM_001302551	-	no	black
1	HNRNPCL3	12907230	12908235	NM_001146181	-	no	black
1	HNRNPCL1	12907230	12908609	NM_001013631	-	no	black
1	PRAMEF2	12916941	12921764	NM_023014	+	no	black
1	PRAMEF4	12939033	12946025	NM_001009611	-	no	black
1	PRAMEF7	12976467	12980300	NM_001012277	+	no	black
1	PRAMEF6	12998302	13007406	NM_001010889	-	no	black
1	LOC101929983	12998505	13002353	NM_001300891*	-	no	black
1	LOC391003	13035499	13039011	NM_001099850	+	no	black
1	PRAMEF22	13035543	13038381	NM_001100631	+	no	black
1	PRAMEF5	13108514	13117751	NM_001013407	-	no	black
1	LOC645354	13161986	13167193	NR_111945	-	no	black
1	HNRNPCL2	13182960	13184326	NM_001136561	-	no	black
1	PRAMEF10	13409128	13414502	NM_001039361	+	no	black
1	LOC645382	13409135	13414502	NM_001291381	+	no	black
1	PRAMEF15	13421176	13428190	NM_001098376	+	no	black
1	LOC400736	13447414	13452656	NM_001291380	-	no	black
1	PRAMEF19	13474053	13477569	NM_001099790	-	no	black
1	PRAMEF16	13495254	13498259	NM_001045480	+	no	black
1	PRAMEF17	13495258	13498257	NM_001099851	+	no	black
1	PRAMEF20	13516066	13526943	NM_001099852	+	no	black
1	LRRC38	13801445	13840242	NM_001010847	-	no	black
1	PDPN	13910252	13944452	NM_006474|NM_198389|NM_001006625|NM_001006624	+	no	black
1	PRDM2	14026735	14151574	NM_001135610|NM_015866|NM_012231|NM_001007257	+	no	black
1	KAZN	14925213	15444544	NM_015209|NM_201628|NM_001018000|NM_001018001|NM_001017999	+	no	black
1	TMEM51-AS1	15438311	15478960	NR_027136	-	no	black
1	TMEM51	15479028	15546974	NM_001136217|NM_001136216|NM_001136218|NM_018022	+	no	black
1	C1orf195	15490692	15498120	NM_001278502|NM_001278501	-	no	black
1	FHAD1	15573768	15724622	NM_052929	+	no	black
1	EFHD2	15736391	15756839	NM_024329	+	no	black
1	CTRC	15764938	15773153	NM_007272	+	no	black
1	CELA2A	15783223	15798586	NM_033440	+	no	black
1	CELA2B	15802596	15817895	NM_015849	+	no	black
1	CASP9	15817896	15851285	NR_102733|NM_001229|NR_102732|NM_001278054|NM_032996	-	no	black
1	DNAJC16	15853308	15898228	NM_015291|NM_001287811|NR_109898	+	no	black
1	AGMAT	15898194	15911605	NM_024758	-	no	black
1	DDI2	15943953	15987552	NM_032341	+	no	black
1	RSC1A1	15986364	15988217	NM_006511	+	no	black
1	PLEKHM2	16010827	16061264	NM_015164	+	no	black
1	SLC25A34	16062809	16067884	NM_207348	+	no	black
1	TMEM82	16068987	16074292	NM_001013641	+	no	black
1	FBLIM1	16085255	16113084	NM_017556|NM_001024215|NM_001024216	+	no	black
1	UQCRHL	16133657	16134194	NM_001089591	-	no	black
1	FLJ37453	16160710	16174642	NR_024279	-	no	black
1	SPEN	16174359	16266950	NM_015001	+	yes	red4
1	MIR5096	16197644	16231962	NR_039973	+	no	black
1	ZBTB17	16268364	16302627	NM_003443|NM_001287603|NM_001287604|NM_001242884	-	no	black
1	C1orf64	16330731	16333190	NM_178840	+	no	black
1	HSPB7	16340523	16345285	NM_014424	-	no	black
1	CLCNKA	16348486	16360545	NM_004070|NM_001042704|NM_001257139	+	no	black
1	CLCNKB	16370231	16383821	NM_000085|NM_001165945	+	no	black
1	FAM131C	16384264	16400127	NM_182623	-	no	black
1	EPHA2	16450832	16482582	NM_004431	-	no	black
1	ARHGEF19	16524599	16539104	NM_153213	-	no	black
1	RSG1	16558182	16563659	NM_030907	-	no	black
1	FBXO42	16573335	16678986	NM_018994	-	no	black
1	SZRD1	16693525	16724643	NR_073501|NR_073503|NM_001114600|NR_073500|NR_073502|NM_001271869	+	no	black
1	SPATA21	16725138	16763919	NM_198546	-	no	black
1	NECAP2	16767167	16786584	NM_001145277|NM_001145278|NM_018090	+	no	black
1	CROCCP3	16793931	16819196	NR_023386	-	no	black
1	MIR3675	16875409	16875482	NR_037446	+	no	black
1	NBPF1	16888922	16940100	NM_017940*	-	no	black
1	CROCCP2	16944751	16957401	NR_026752	-	no	black
1	MST1P2	16972069	16976915	NR_027504	+	no	black
1	FAM231A	16999498	17000007	NM_001282321	+	no	black
1	ESPNP	17017713	17046652	NR_026567	-	no	black
1	MST1L	17081129	17090975	NM_001271733	-	no	black
1	CROCC	17248445	17299474	NM_014675	+	no	black
1	MFAP2	17300999	17308081	NM_002403|NM_001135248|NM_001135247|NM_017459	-	no	black
1	ATP13A2	17312453	17338467	NM_022089|NM_001141973|NM_001141974	-	no	black
1	SDHB	17345225	17380665	NM_003000	-	yes	red4
1	PADI2	17393256	17445948	NM_007365	-	no	black
1	PADI1	17531621	17572501	NM_013358	+	no	black
1	PADI3	17575593	17610727	NM_016233	+	no	black
1	MIR3972	17604384	17604470	NR_039768	+	no	black
1	PADI4	17634690	17690495	NM_012387	+	no	black
1	PADI6	17698691	17728195	NM_207421	+	no	black
1	RCC2	17733251	17766250	NM_001136204|NM_018715	-	no	black
1	ARHGEF10L	17866330	18024370	NM_018125|NM_001011722	+	no	black
1	ACTL8	18081808	18153558	NM_030812	+	no	black
1	LOC101927876	18392151	18400905	NR_125946	+	no	black
1	IGSF21	18434240	18704977	NM_032880	+	no	black
1	KLHDC7A	18807424	18812480	NM_152375	+	no	black
1	PAX7	18957500	19075360	NM_002584|NM_013945|NM_001135254	+	yes	red4
1	TAS1R2	19166093	19186155	NM_152232	-	no	black
1	ALDH4A1	19197924	19229293	NM_001161504|NM_003748|NM_170726	-	no	black
1	MIR4695	19209696	19209769	NR_039844	-	no	black
1	MIR1290	19223565	19223642	NR_031622	-	no	black
1	IFFO2	19230774	19282826	NM_001136265	-	no	black
1	UBR4	19401000	19536746	NM_020765	-	no	black
1	EMC1	19542158	19578053	NM_015047|NM_001271428|NM_001271427|NM_001271429	-	no	black
1	MRTO4	19578075	19586622	NM_016183	+	no	black
1	AKR7L	19592476	19600568	NR_040289|NR_040288	-	no	black
1	AKR7A3	19609057	19615280	NM_012067	-	no	black
1	LOC100506730	19619741	19622230	NR_037847	-	no	black
1	AKR7A2	19629202	19638640	NM_003689	-	no	black
1	PQLC2	19638740	19658922	NM_001040125|NM_001040126|NM_017765|NM_001287531|NR_109848	+	no	black
1	CAPZB	19665267	19812135	NM_001282162|NM_004930|NM_001206541|NM_001206540	-	no	black
1	MINOS1	19923471	19956315	NR_033757|NM_001204082|NM_001204083|NR_033758|NM_001032363	+	no	black
1	MINOS1-NBL1	19923471	19984949	NM_001204089|NM_001204088	+	no	black
1	RPS14P3	19934301	19935138	NR_077246	+	no	black
1	NBL1	19969723	19984949	NM_001278164|NM_182744|NM_001278165|NM_001204084|NM_005380|NM_001204085|NM_001204086|NM_001278166	+	no	black
1	HTR6	19991780	20007459	NM_000871	+	no	black
1	TMCO4	20008706	20126410	NM_181719	-	no	black
1	RNF186	20140522	20141771	NM_019062	-	no	black
1	OTUD3	20208888	20239437	NM_015207	+	no	black
1	PLA2G2E	20246800	20250110	NM_014589	-	no	black
1	PLA2G2A	20301924	20306932	NM_001161729|NM_000300|NM_001161727|NM_001161728	-	no	black
1	PLA2G5	20396701	20418394	NM_000929	+	no	black
1	PLA2G2D	20439143	20446059	NM_012400|NM_001271814	-	no	black
1	PLA2G2F	20465823	20476879	NM_022819	+	no	black
1	PLA2G2C	20490484	20501687	NM_001105572	-	no	black
1	UBXN10-AS1	20510736	20512979	NR_110078	-	no	black
1	UBXN10	20512578	20519942	NM_152376	+	no	black
1	VWA5B1	20617412	20681387	NM_001039500	+	no	black
1	LINC01141	20686294	20755287	NR_033887	-	no	black
1	CAMK2N1	20808884	20812728	NM_018584	-	no	black
1	MUL1	20825941	20834674	NM_024544	-	no	black
1	FAM43B	20878932	20881513	NM_207334	+	no	black
1	CDA	20915444	20945400	NM_001785	+	no	black
1	PINK1	20959948	20978004	NM_032409	+	no	black
1	MIR6084	20960172	20960281	NR_106732	+	no	black
1	PINK1-AS	20969150	20978686	NR_046507	-	no	black
1	DDOST	20978260	20988037	NM_005216	-	no	black
1	KIF17	20990507	21044510	NM_001122819|NM_020816|NM_001287212	-	no	black
1	SH2D5	21046225	21059133	NM_001103161|NM_001103160	-	no	black
1	HP1BP3	21069171	21113181	NM_016287	-	no	black
1	EIF4G3	21132785	21503381	NM_003760|NM_001198801|NM_001198802|NM_001198803	-	no	black
1	MIR1256	21314807	21314925	NR_031657	-	no	black
1	ECE1	21543740	21672034	NM_001113347|NM_001113349|NM_001397|NM_001113348	-	no	black
1	LOC100506801	21619783	21626362	NR_038404	+	no	black
1	NBPF3	21766583	21811393	NM_032264|NM_001256417|NM_001256416|NR_046176	+	no	black
1	ALPL	21835858	21904905	NM_001177520|NM_001127501|NM_000478	+	no	black
1	RAP1GAP	21922708	21995856	NM_001145658|NM_001145657|NM_002885	-	no	black
1	USP48	22004792	22109688	NM_032236|NM_001032730	-	no	black
1	LDLRAD2	22138758	22151714	NM_001013693	+	no	black
1	HSPG2	22148725	22263790	NM_005529|NM_001291860	-	no	black
1	CELA3B	22303418	22315847	NM_007352	+	no	black
1	CELA3A	22328149	22339035	NM_005747	+	no	black
1	LOC101928043	22350487	22352541	NR_110692	-	no	black
1	LINC00339	22351684	22357717	NR_023918|NR_023919|NR_109762|NR_109760|NR_109759|NR_109761	+	no	black
1	CDC42	22379120	22419436	NM_044472|NM_001791|NM_001039802	+	no	black
1	WNT4	22443798	22469519	NM_030761	-	no	black
1	MIR4418	22592732	22592793	NR_039613	+	no	black
1	ZBTB40	22778344	22857650	NM_014870|NM_001083621	+	no	black
1	EPHA8	22890004	22930087	NM_001006943|NM_020526	+	no	black
1	MIR6127	22959751	22959859	NR_106742	-	no	black
1	C1QA	22963118	22966175	NM_015991	+	no	black
1	C1QC	22970118	22974603	NM_172369|NM_001114101	+	no	black
1	C1QB	22979682	22988029	NM_000491	+	no	black
1	EPHB2	23037331	23241823	NM_017449|NM_004442	+	no	black
1	MIR4684	23046010	23046091	NR_039832	+	no	black
1	MIR4253	23189652	23189719	NR_036214	-	no	black
1	LACTBL1	23279536	23291923	NM_001289974*	-	no	black
1	C1orf234	23337327	23342343	NM_001242521	-	no	black
1	KDM1A	23345941	23410184	NM_001009999|NM_015013	+	no	black
1	MIR3115	23370798	23370865	NR_036057	+	no	black
1	MIR4419A	23384351	23384427	NR_039614	-	no	black
1	LUZP1	23410516	23495351	NM_033631|NM_001142546	-	no	black
1	HTR1D	23518388	23521222	NM_000864	-	no	black
1	LINC01355	23607802	23612011	NR_110616	-	no	black
1	HNRNPR	23631181	23670857	NM_001102397|NM_001102398|NM_001102399|NM_001297621|NM_005826|NM_001297622|NM_001297620	-	no	black
1	ZNF436	23685941	23696357	NM_030634|NM_001077195	-	no	black
1	ZNF436-AS1	23695464	23698330	NR_033690|NR_033691	+	no	black
1	TCEA3	23707402	23751272	NM_003196	-	no	black
1	ASAP3	23755056	23810750	NM_001143778|NM_017707	-	no	black
1	E2F2	23832920	23857712	NM_004091	-	no	black
1	LOC101928163	23848422	23854911	NR_110799	+	no	black
1	ID3	23884421	23886285	NM_002167	-	no	black
1	MDS2	23953824	23967056	NR_027042	+	yes	red4
1	RPL11	24018269	24022915	NM_001199802|NM_000975	+	no	black
1	TCEB3	24069856	24088549	NM_003198	+	no	black
1	TCEB3-AS1	24086872	24104787	NR_038280	-	no	black
1	PITHD1	24104876	24114722	NM_020362	+	no	black
1	LYPLA2	24117646	24122029	NM_007260	+	no	black
1	GALE	24122089	24127294	NM_001127621|NM_000403|NM_001008216	-	no	black
1	HMGCL	24128367	24151949	NM_000191|NM_001166059	-	no	black
1	FUCA1	24171572	24194859	NM_000147	-	no	black
1	CNR2	24200460	24239817	NM_001841	-	no	black
1	MIR378F	24255560	24255637	NR_039615	+	no	black
1	PNRC2	24286301	24289949	NM_017761	+	no	black
1	SRSF10	24290837	24306953	NM_001191005|NM_001191006|NM_001191007|NM_001191009|NM_001300937|NM_006625|NM_054016|NR_034035|NM_001300936	-	no	black
1	MYOM3	24382531	24438665	NM_152372	-	no	black
1	IL22RA1	24446261	24469775	NM_021258	-	no	black
1	IFNLR1	24480647	24513765	NM_173064|NM_170743|NM_173065	-	no	black
1	LOC284632	24526730	24538180	NR_027087	+	no	black
1	GRHL3	24645812	24690970	NM_198173|NM_198174|NM_001195010|NM_021180	+	no	black
1	STPG1	24683489	24741587	NM_001199014|NM_178122|NM_001199013|NM_001199012	-	no	black
1	NIPAL3	24742245	24799473	NM_020448	+	no	black
1	RCAN3AS	24822823	24828850	NR_045409|NR_045408|NR_045407	-	no	black
